Article ID,Reference,MWP technique,Relevance for TC MWP,Classification category,Application axis,Test methodology axis,Data analysis type
P01,"Sadeghi, Peyman and Karimi, Amirhossein and Torbatifard, Shadan and Goli, Ahmad (2024)",IRT only,Medium,Standalone MWP study,LVE stiffness / complex modulus characterization,IRT free-free resonance (Longitudinal),Frequency domain; analytical (closed-form)
P02,"du Tertre, Antonin and Kırlangıç, Ahmet Serhan and Cascante, Giovanni and Tighe, Susan L (2022)",UT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT surface-wave (P/R-waves),Time + frequency domain; analytical (closed-form)
P03,"Boz, I. and Solaimanian, M. (2019)",IRT only,Medium,Standalone MWP study,Other / not specified in form,IRT resonance (Flexural),Frequency domain; empirical / regression
P04,"Veeraragavan, R.K. and Nivedya, M.K. and Mallick, R.B. (2019)",UT only,Low,MWP + conventional tests (no formal comparison),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Frequency domain; method not reported
P05,"Diakhaté, M. and Larcher, N. and Takarli, M. and Angellier, N. and Petit, C. (2012)",Neither UT nor IRT,Medium,MWP + conventional tests (no formal comparison),Damage / durability monitoring,No UT/IRT methodology reported,Domain not reported; method not reported
P07,"Zhao, K. and Song, S. and Wei, Y. and Li, G. and Guo, F. (2023)",Neither UT nor IRT,Low,Standalone MWP study,LVE stiffness / complex modulus characterization,No UT/IRT methodology reported,Domain not reported; method not reported
P08,"Pezhouhan Tavassoti-Kheiry, Ilker Boz, Xuan Chen, Mansour Solaimanian (2017)",UT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Time domain; analytical (closed-form)
P09,"Mallick, Rajib B. and Nivedya, M.K. and Veeraragavan, Ramkumar and Nazarian, Soheil and Tirado, Cesar (2019)",UT only,Medium,Standalone MWP study,Damage / durability monitoring,UT through-transmission (P-waves),Domain not reported; analytical (closed-form)
P11,"Zargar, M. and Banerjee, S. and Bullen, F. and Ayers, R. (2019)",UT only,Low,Standalone MWP study,"QC / empirical correlation (strength, density, voids)",UT through-transmission (P-waves),Time domain; empirical / regression
P15,"Tavassoti-Kheiry, Pezhouhan and Boz, Ilker and Chen, Xuan and Solaimanian (2017)",UT only,Medium,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Time domain; analytical (closed-form)
P16,"Ye, Feilong and Ding, Xunhao and Ma, Tao and Ye, Zhongyun and Su, Zhizhou and Zhang, Shunquan (2025)",UT only,Low,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission,Time domain; analytical (closed-form)
P17,"Boz, Ilker and Chen, Xuan and Solaimanian, Mansour and American Society of Civil Engineers (2017)",UT only,Medium,MWP + conventional tests (no formal comparison),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Time domain; analytical (closed-form)
P19,"Karati, S and Roy, TK (2022)",UT only,Medium,Standalone MWP study,LVE stiffness / complex modulus characterization,UT (configuration not reported) (P-waves),Time domain; analytical (closed-form)
P20,"Gu, X.-Y. and Li, S.-W. and Dong, Q. and Xu, X.-R. and Xu, D.-W. and Zhang, T.-J. (2020)",UT only,Medium,Standalone MWP study,Other / not specified in form,UT pulse-echo (S-waves),Frequency domain; numerical inverse (FEM/other)
P21,"Bekele, A. and Ryden, N. and Gudmarsson, A. and Birgisson, B. (2019)",IRT only,Low,Standalone MWP study,LVE stiffness / complex modulus characterization,IRT resonance,Domain not reported; method not reported
P23,"Mun, S. and Lee, S.-J. (2015)",IRT only,Medium,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,IRT free-free resonance (Longitudinal),Frequency domain; analytical (closed-form)
P24,"Dareyni, Mohammad and Vahid Pourjafar, Seyed and Mohammadzadeh Moghaddam, Abolfazl (2023)",UT only,Low,Comparative study (MWP vs conventional),"QC / empirical correlation (strength, density, voids)",UT through-transmission (P-waves),Time domain; method not reported
P25,"McGovern, M.E. and Behnia, B. and Buttlar, W.G. and Reis, H. (2013)",UT only,High,Standalone MWP study,Damage / durability monitoring,UT through-transmission (P/S-waves),Frequency domain; method not reported
P27,"McGovern, M.E. and Buttlar, W.G. and Reis, H. (2014)",UT only,High,Standalone MWP study,Other / not specified in form,UT through-transmission (P/S-waves),Time + frequency domain; analytical (closed-form)
P28,"You, L. and You, Z. and Dai, Q. and Guo, S. and Wang, J. and Schultz, M. (2018)",UT only,Low,Comparative study (MWP vs conventional),"QC / empirical correlation (strength, density, voids) (+ damage)",UT through-transmission (P-waves),Time domain; analytical (closed-form)
P29,"Tavassoti-Kheiry, Pezhouhan and Solaimanian, Mansour and Qui, Tong (2016)",IRT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,IRT resonance,Domain not reported; method not reported
P31,"In, Chi-Won and Kim, Jin-Yeon and Kurtis, Kimberly E. and Jacobs, Laurence J. (2009)",UT only,High,Standalone MWP study,Other / not specified in form,UT surface-wave (R-waves),Time + frequency domain; method not reported
P32,"Arabani, M. and Kheiry, P.T. (2007)",UT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (P/S-waves),Time domain; analytical (closed-form)
P33,"Solaimanian, M. and Boz, I. (2014)",IRT only,High,Standalone MWP study,LVE stiffness / complex modulus characterization,IRT free-free resonance (Longitudinal),Frequency domain; method not reported
P34,"Grilli, Andrea and Graziani, Andrea and Bocci, Maurizio (2012)",UT only,Medium,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Time domain; analytical (closed-form)
P35,"Xie, T. and Qiu, Y. and Jiang, Z. and Lan, B. (2007)",UT only,Medium,Standalone MWP study,"QC / empirical correlation (strength, density, voids) (+ stiffness)",UT through-transmission,Time domain; analytical (closed-form)
P36,"Wu, Y.C. and Cascante, G. and Pandey, M.D. (2014)",UT only,Medium,Standalone MWP study,"QC / empirical correlation (strength, density, voids)",UT pulse-echo (S-waves),Time + frequency domain; method not reported
P39,"Pan, W.-H. and Sun, X.-D. and Wu, L.-M. and Yang, K.-K. and Tang, N. (2019)",UT only,Low,MWP + conventional tests (no formal comparison),Damage / durability monitoring,UT through-transmission,Time domain; method not reported
P40,"Cheng, Y.-C. and Zhang, P. and Jiao, Y.-B. and Wang, Y.-D. and Tao, J.-L. (2013)",UT only,Low,Standalone MWP study,Damage / durability monitoring,UT through-transmission (P-waves),Time domain; method not reported
P41,"Wu, Jinrong and Hu, Yanyan and Jin, Qingfen and Zhao, Wenzhu (2024)",UT only,Low,Standalone MWP study,Other / not specified in form,UT (configuration not reported),Domain not reported; method not reported
P43,"Zhang, W. and Akber, M.A. and Hou, S. and Bian, J. and Zhang, D. and Le, Q. (2019)",UT only,Low,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission,Domain not reported; analytical (closed-form)
P44,"Kweon, G. and Richard Kim, Y. (2006)",IRT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,IRT free-free resonance (Longitudinal),Frequency domain; analytical (closed-form)
P45,"Mounier, Damien and Di Benedetto, Hervé and Sauzéat, Cédric (2012)",UT + IRT,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (S-waves) + IRT free-free resonance (Longitudinal),Time + frequency domain; analytical (closed-form)
P47,"Kim, D. and Kim, Y.R. (2017)",IRT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,IRT free-free resonance (Longitudinal/Flexural),Frequency domain; analytical (closed-form)
P48,"Qiu, K. and Chen, H. and Sun, W. and Sun, L. and Hong, J. and Zhao, G. (2014)",UT only,Low,Comparative study (MWP vs conventional),"QC / empirical correlation (strength, density, voids)",UT through-transmission (P-waves),Time domain; analytical (closed-form)
P49,"Karoliny Lemos Bezerra, Ana and Carret, Jean-Claude and Feitosa de Albuquerque Lima Babadopulos, Lucas and Barbosa Soares, Jorge (2023)",IRT only,Medium,Standalone MWP study,LVE stiffness / complex modulus characterization,IRT free-free resonance (Longitudinal),Frequency domain; numerical inverse (FEM/other)
P50,"Mun, S. (2015)",IRT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,IRT resonance (Longitudinal),Frequency domain; analytical (closed-form)
P51,"Mahdavi, Alireza and Moghaddam, Abolfazl Mohammadzadeh and Dareyni, Mohammad (2021)",UT only,Not reported,Standalone MWP study,"QC / empirical correlation (strength, density, voids) (+ stiffness)",UT through-transmission (P-waves),Time domain; empirical / regression
P52,"Norambuena-Contreras, J. and Castro-Fresno, D. and Vega-Zamanillo, A. and Celaya, M. and Lombillo-Vozmediano, I. (2010)",UT only,High,MWP + conventional tests (no formal comparison),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Frequency domain; analytical (closed-form)
P53,"Apaza Apaza, F.R. and Vázquez, V.F. and Paje, S.E. and Gulisano, F. and Rodríguez, L.S. and Gallego, J. (2025)",IRT only,Medium,Standalone MWP study,LVE stiffness / complex modulus characterization (+ QC),IRT resonance,Domain not reported; method not reported
P55,"Al-Zajrawi, A.K. and Mashkur, B.T. and Al-Zahra, Z.A. (2020)",UT only,Low,Standalone MWP study,LVE stiffness / complex modulus characterization,UT (configuration not reported),Domain not reported; method not reported
P56,"Grilli, V. and Grilli, A. and Graziani, A. and Jaczewski, M. (2024)",UT only,Low,MWP + conventional tests (no formal comparison),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Time domain; analytical (closed-form)
P59,"Benaboud, S. and Takarli, M. and Allou, F. and Dubois, F. and Nicolaï, A. and Pouteau, B. and Beghin, A. (2022)",UT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (P/S-waves),Time domain; analytical (closed-form)
P60,"Medina, J.R. and Underwood, B.S. and Mamlouk, M. (2018)",UT only,Medium,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Time domain; analytical (closed-form)
P63,"Yadav Shivpal, Kusam Abhilash and Tayebali Akhtarhusein A (2021)",IRT only,High,Comparative study (MWP vs conventional),"QC / empirical correlation (strength, density, voids) (+ stiffness)",IRT free-free resonance (Flexural),Frequency domain; analytical (closed-form)
P64,"Karmakar, S and Roy, TK (2020)",UT only,Low,MWP + conventional tests (no formal comparison),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Time domain; analytical (closed-form)
P65,"Chen, L. and Qian, Z. and Zhang, L. (2012)",IRT only,Low,Standalone MWP study,Other / not specified in form,IRT resonance (Flexural),Time + frequency domain; method not reported
